airport_iata,airport_icao,lat,lon,name,city,country
FMO,EDDG,52.1312,7.69163,Munster-Osnabruck International Airport,Greven,Germany
XFW,EDHI,53.5356,9.8342,Finkenwerder Airport,Hamburg,Germany
HAM,EDDH,53.6321,10.0042,Hamburg Airport,Hamburg,Germany
HEI,KHEI,54.153,8.89555,Heide-Busum Airport,Heide-Buesum,Germany
HDB,EDIU,49.4167,8.71667,Heidelberg Airport,Heidelberg,Germany
HOQ,EDQM,50.2893,11.866,Hof-Plauen Airport,Hof,Germany
HAJ,EDDV,52.4586,9.69459,Hannover International Airport,Langenhagen,Germany
FDH,EDNY,47.6747,9.52088,Friedrichshafen Airport,Meckenbeuren,Germany
NUE,EDDN,49.4946,11.0785,Nurnberg Airport,Nuremberg,Germany
MUC,EDDM,48.354,11.7816,Franz-Josef-Strauss Airport,Oberding,Germany
DRS,EDDC,51.1688,13.7899,Ottendorf Okrilla Highway Strip Airport,Ottendorf-Okrilla,Germany
FKB,EDSB,48.781,8.08678,Baden-Airpark,Rheinmünster,Germany
RLG,ETNL,46.7427,-96.2383,,Rostock-laage,Germany
SCN,EDDR,49.2188,7.11263,Saarbrucken Airport,Sarrebruck,Germany
LEJ,EDDP,51.4197,12.2201,Leipzig-Halle Airport,Schkeuditz,Germany
SXF,EDDB,52.3886,13.5188,Berlin-Schonefeld International Airport,Schönefeld,Germany
STR,EDDS,48.6895,9.19298,Stuttgart Airport,Stuttgart,Germany
NRN,KNRN,51.6031,6.1417,Airport Weeze,Weeze,Germany
ACC,DGAA,5.5964,-0.17,Kotoka International Airport,Accra,Ghana
AXD,LGAL,40.8567,25.9567,Alexandroupolis Airport,Alexandroupolis,Greece
KGS,LGKO,36.7956,27.0917,Kos Airport,Antimacheia,Greece
ATH,LGAV,37.8937,23.7235,Eleftherios Venizelos International Airport,Athens,Greece
CHQ,LGSA,35.5319,24.1489,Souda Airport,Canea,Greece
CFU,LGKR,39.6013,19.9136,Kerkira Airport,Corcyra,Greece
IOA,LGIO,39.6967,20.8258,Ioannina Airport,Ioannina,Greece
HER,LGIR,35.3397,25.1836,Iraklion Airport,Iraklio,Greece
AOK,LGKP,35.4239,27.1472,Karpathos Airport,Karpathos,Greece
JKH,LGHI,38.345,26.1417,Chios Airport,Khios,Greece
KZI,LGKZ,40.2886,21.8419,Kozani Airport,Kozani,Greece
GPA,LGRX,38.1519,21.4272,Araxos Airport,Lakkopetra,Greece
PAS,LGPA,37.0683,25.1975,Paros Island Airport,Levkai,Greece
